timestamp,position_lat,position_long,distance,heart_rate,altitude,speed,power,cadence
1061591729,-139044403,1991979254,2842.29,127,-5.399999999999977,10.224,240,85
1061591730,-139045446,1991979619,2852.52,127,-5.600000000000023,10.214,244,86
1061591731,-139046486,1991979991,2862.75,128,-5.600000000000023,10.252,240,84
1061591732,-139047533,1991980368,2873.06,128,-5.800000000000011,10.355,235,84
1061591733,-139048594,1991980749,2883.51,129,-6,10.517,240,85
1061591734,-139049674,1991981132,2894.12,129,-6.199999999999989,10.707,244,85
1061591735,-139050773,1991981522,2904.92,129,-6.399999999999977,10.834,231,82
1061591736,-139051876,1991981911,2915.75,129,-6.399999999999977,10.805,231,84
1061591737,-139052970,1991982295,2926.48,129,-6.199999999999989,10.624,244,85
1061591738,-139054040,1991982672,2936.98,129,-5.800000000000011,10.336,240,86
1061591739,-139055076,1991983035,2947.13,129,-5.399999999999977,9.971,240,85
1061591740,-139056067,1991983384,2956.84,129,-4.800000000000011,9.428,248,86
1061591741,-139057002,1991983709,2965.99,129,-4.399999999999977,8.884,244,86
1061591742,-139057855,1991984004,2974.33,130,-3.8000000000000114,8.386,240,86
1061591743,-139058690,1991984282,2982.47,130,-3.1999999999999886,7.906,248,87
1061591744,-139059481,1991984538,2990.15,130,-2.8000000000000114,7.468,244,86
1061591745,-139060236,1991984755,2997.41,130,-2.3999999999999773,7.057,240,85
1061591746,-139060946,1991984973,3004.28,130,-1.8000000000000114,6.684,240,85
1061591747,-139061614,1991985199,3010.79,130,-1.3999999999999773,6.353,244,86
1061591748,-139062250,1991985410,3016.99,130,-1,6.058,244,85
1061591749,-139062861,1991985602,3022.92,130,-0.6000000000000227,5.797,252,87
1061591750,-139063449,1991985781,3028.6,130,-0.39999999999997726,5.569,252,89
1061591751,-139064013,1991985958,3034.07,130,0,5.376,266,90
1061591752,-139064559,1991986128,3039.36,130,0.39999999999997726,5.204,252,87
1061591753,-139065088,1991986290,3044.48,130,0.6000000000000227,5.031,248,86
1061591754,-139065601,1991986444,3049.43,130,1,4.874,248,86
1061591755,-139066098,1991986595,3054.23,130,1.3999999999999773,4.732,248,86
1061591756,-139066576,1991986757,3058.9,130,1.6000000000000227,4.604,244,85
1061591757,-139067040,1991986918,3063.45,130,1.8000000000000114,4.487,244,85
1061591758,-139067493,1991987075,3067.88,130,2.1999999999999886,4.38,240,84
1061591759,-139067936,1991987228,3072.22,130,2.3999999999999773,4.3,252,86
1061591760,-139068372,1991987378,3076.49,130,2.8000000000000114,4.235,248,87
1061591761,-139068802,1991987526,3080.69,130,3,4.177,248,87
1061591762,-139069227,1991987671,3084.85,130,3.1999999999999886,4.125,248,86
1061591763,-139069646,1991987814,3088.95,131,3.6000000000000227,4.081,248,87
1061591764,-139070062,1991987955,3093.02,131,3.8000000000000114,4.041,248,86
1061591765,-139070474,1991988094,3097.04,131,4,4.014,252,87
1061591766,-139070886,1991988234,3101.07,131,4.199999999999989,4.052,284,95
1061591767,-139071304,1991988374,3105.16,131,4.600000000000023,4.114,290,95
1061591768,-139071728,1991988517,3109.3,131,4.800000000000011,4.154,284,96
1061591769,-139072157,1991988662,3113.49,131,5,4.229,308,98
1061591770,-139072594,1991988810,3117.76,131,5.399999999999977,4.312,315,99
1061591771,-139073039,1991988960,3122.12,131,5.600000000000023,4.385,315,100
1061591772,-139073491,1991989113,3126.54,131,5.800000000000011,4.447,315,100
1061591773,-139073948,1991989267,3131,131,6.199999999999989,4.472,302,98
1061591774,-139074408,1991989422,3135.5,131,6.399999999999977,4.504,308,97
1061591775,-139074875,1991989580,3140.07,131,6.600000000000023,4.672,296,98
1061591776,-139075364,1991989747,3144.87,131,6.800000000000011,4.904,296,97
1061591777,-139075875,1991989921,3149.88,131,7,5.103,279,93
1061591778,-139076407,1991990103,3155.09,131,7,5.305,275,92
1061591779,-139076960,1991990293,3160.51,131,7.199999999999989,5.519,275,92
1061591780,-139077535,1991990492,3166.15,131,7.199999999999989,5.765,271,91
1061591781,-139078138,1991990699,3172.06,131,7.399999999999977,6.036,271,90
1061591782,-139078769,1991990917,3178.25,131,7.399999999999977,6.342,271,91
1061591783,-139079433,1991991146,3184.77,131,7.399999999999977,6.683,271,95
1061591784,-139080135,1991991388,3191.65,132,7.199999999999989,7.064,320,101
1061591785,-139080878,1991991644,3198.95,132,7.199999999999989,7.517,315,100
1061591786,-139081668,1991991916,3206.71,132,7,7.951,302,95
1061591787,-139082500,1991992203,3214.86,132,6.800000000000011,8.339,296,97
1061591788,-139083369,1991992503,3223.39,132,6.800000000000011,8.685,315,101
1061591789,-139084271,1991992815,3232.24,133,6.600000000000023,8.997,326,100
1061591790,-139085204,1991993138,3241.39,134,6.600000000000023,9.261,320,102
1061591791,-139086161,1991993467,3250.77,134,6.399999999999977,9.469,326,102
1061591792,-139087137,1991993804,3260.33,134,6.399999999999977,9.634,320,102
1061591793,-139088128,1991994145,3270.04,133,6.399999999999977,9.759,315,102
1061591794,-139089132,1991994489,3279.87,133,6.399999999999977,9.877,326,101
1061591795,-139090149,1991994831,3289.81,133,6.399999999999977,10.001,332,101
1061591796,-139091181,1991995173,3299.89,133,6.399999999999977,10.124,326,102
1061591797,-139092227,1991995514,3310.07,133,6.399999999999977,10.234,302,100
1061591798,-139093250,1991995842,3320.03,133,6.399999999999977,10.333,308,98
1061591799,-139094319,1991996182,3330.42,132,6.399999999999977,10.447,315,99
1061591800,-139095401,1991996525,3340.94,132,6.399999999999977,10.569,315,100
1061591801,-139096496,1991996871,3351.58,132,6.399999999999977,10.712,320,100
1061591802,-139097608,1991997223,3362.38,132,6.399999999999977,10.867,302,97
1061591803,-139098734,1991997580,3373.33,132,6.399999999999977,11.023,308,98
1061591804,-139099880,1991997944,3384.47,132,6.399999999999977,11.26,345,104
1061591805,-139101042,1991998330,3395.82,132,6.399999999999977,11.398,320,99
1061591806,-139102195,1991998777,3407.27,132,6.399999999999977,11.497,308,96
1061591807,-139103376,1991999173,3418.81,132,6.399999999999977,11.539,296,93
1061591808,-139104510,1991999684,3430.36,132,6.399999999999977,11.515,279,93
1061591809,-139105345,1992000585,3441.79,132,6.399999999999977,11.311,266,91
1061591810,-139105649,1992001759,3452.99,132,6.399999999999977,11.07,240,85
1061591811,-139105563,1992002952,3463.95,132,6.399999999999977,10.867,244,85
1061591812,-139105302,1992004098,3474.72,132,6.399999999999977,10.666,244,86
1061591813,-139105004,1992005212,3485.29,133,6.399999999999977,10.471,231,82
1061591814,-139104717,1992006308,3495.67,133,6.399999999999977,10.273,226,81
